Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments
128 64.11(0).06 R. H. Baker, Astronomy, London-Princeton, Van Nostrand Co. Ltd., 1964, 557 pp, $8.25 and 64s, Obs 85 52 and Phys. Today 17 Nr. 5 79 and Sky Tel. 27 240 and Spaceflight 6 177, 8th edition;

129 64.11(0).07 A. Blume and E. N. Svendsen, Astronomie, Kopenhagen, Gyldendalske Boghandel comma Nordisk Forlag A/S, , 146 pp, Kr. 15.75, NAT 1964 80, 

130 64.11(0).08 H. Bondi, Wszechświat nieznany, Warszawa, Wiedze Powszechna, 1964, 136 pp, zł 6, Urania Kraków 35 281, reprint of 1960;in Polish;other polish translation of H. Bondi <<The Universe at Large>> New York 1960; 

131 64.11(0).09 N. Boneff, Astronomie (Lehrbuch für Physik-Mathematikstudenten), Sofia, <<Wissenshaft und Kunst>>, 1964, 440 pp, 1.61 Lewa, , 3rd edition;in Bulgarian;

132 64.11(0).10 J. C. Brandt and P. W. Hodges, Solar System Astrophysics, New York, McGraw-Hill Book Company, 1964, 10+457 pp, $12.50, Ann d’Astrophys 28 460 and Publ. ASP 77 65 and Science 147 386 and Sky Tel. 29 109 and Sky Tel. 29 374, 

133 64.11(0).11 R. Brandt, Himmelswunders im Feldstecher, Leipzig, Johann Ambrosius Barth, 1964, 131 pp, DM 6.00, Coelum 32 94 and Sky Tel. 28 94 and Sternenbote 7 119, 7th edition;

134 64.11(0).12 C. Fisher and R. S. Dodson jr., Exploring the Heavens, New York, T. Y. Crowell Company, 1964, 214 pp, $4.95, Sky Tel. 28 300, 

135 64.11(0).13 J. Gadomski, Opowieści o kosmosie, Warazawa, Ludowa Spółdzielnia Wydawnicza, 1964, 144 pp, zł 19, , other Sammlung von allgemeinverständlichen Aufsätzen aus der Astronomie; 

136 64.11(0).14 M. Gardner, The Ambidextrous Universe, New York, Basic Books Inc, 1964, 94 pp, $5.95, Phys. Today 18 Nr. 5 80, 

137 64.11(0).15 P. J. Gathier, Sterrenkunde, Groningen, J. B. Wolters, 1963, 152 pp, f 5.90, HeD 62 257, 

138 64.11(0).16 A. S. Gregor, A Short History of the Universe, London-New York, The Macmillan & Co., 1964, 127 pp, $4.50, Sky Tel. 28 230 and Sky Tel. 29 104, 

139 64.11(0).17 J. Herrmann, Astronomie, Baarn, Bosch & Keunig N. V., 1963, 191 pp and 192 pp, f 4.90, HeD 62 285, other published in 2 volumes; 

140 64.11(0).18 J. Herrmann, Geburt und Tod im Weltall, Stuttgart, Franckh’sche Verlagshandlung W. Keller & Co., 1964, 161 pp, DM 16.80, SuW 3 266 and VdS Nachr. 13 128, 

141 64.11(0).19 J. Heywood, Radio Astronomy and How to Build Your Own Telescope, New York, Arc Books, 1964, 159 pp, $2.50, Sky Tel. 28 374, 

142 64.11(0).20 F. Hoyle, L’Astronomie, Paris, Editions du Pont Royal, 1963, 320 pp, F 55.44, La Nature 92 37, translated from English;

143 64.11(0).21 I. G. Koltschinskij, Observatorien im Kosmos, Kiew, Akad. Wiss. Ukrain. SSR, 1962, 48 pp, 8 Kop., , in Ukranian;

144 64.11(0).22 R. Kühn, Astronomie popular – eine Einführung in die Himmelskunde, München, Deutscher Taschenbuchverlag, 1964, 165 pp, DM 2.50, , 

145 64.11(0).23 P. H. van Laer, Vreemde Woorden in de Sterrenkunde en Namen van Sterrenbeelden en Sterren, Groningen, J. B. Wolters, 1964, 127 pp, hfl 7.50, HeD 63 260, 

146 64.11(0).24 W. Ley and C. Bonestell, Beyond the Solar System, New York, Viking Press Inc., 1964, 140 pp, $6.50, J RAS Canada 59 48 and Sky Tel. 29 108, 

147 64.11(0).25 J. B. Mackie, The Elements of Astronomy for Surveyors, London, Charles Griffin & Co. Ltd., 1964, 286 pp, 45s, Sky Tel. 27 305 and Southern Stars 20 179, 6th edition;

148 64.11(0).26 D. H. Menzel, A Field Guide to the Stars and Planets, Boston, Houghton Mifflin Co., 1964, 397 pp, $4.95, Sky Tel. 28 94 and Sky Tel. 29 36, 

149 64.11(0).27 P. Moore, The Sky at Night, London, Eyre and Spottiswoode Ltd., 1964, 11+224 pp, 25s, Obs 85 91, 

150 64.11(0).28 L. Motz, This is Astronomy, New York-London, Columbia University Press, 1964, 279 pp, 13s and $1.75, Ann d’Astrophys 27 247 and BSAF 79 107 and Coelum 33 107 and Obs 84 220 and Orion Schaffhausen 9 128 and ZfA 59 286, 

151 64.11(0).29 J. Muirden, Stars and Planets, New York, T. Y. Crowell Company, 1964, 318 pp, $4.95, Sky Tel. 29 240, 

152 64.11(0).30 J. Muirden, The Pan Book of Astronomy, London, Pan Books Ltd., 1964, 318 pp, 5s, Obs 84 220, other same as 64.11.29? the page count is the same; 

153 64.11(0).31 R. Müller, Astronomische Begriffe, Mannheim, Bibliographisches Institut, 1964, 186 pp, DM 6.80, VdS Nachr. 13 127, 

154 64.11(0).32 K. F. Ogorodnikow, Rätsel des Kosmos, Moskau, Militär—Verlag, 1963, 87 pp, 14 Kop., EuW 1 Nr. 1 93, 

155 64.11(0).33 A. Opolski, Astronomiczne podstawy geografii, Warswaza, Państwowe Wydawnictwo Naukowe, 1964, 232 pp, zł 35, , 3rd edition;

156 64.11(0).35 M. Pregizer, Wegweiser zum Auffinden der Sternbilder, Schwäbisch Hall, E. Schwend KG, 1964, , DM 5.40, VdS Nachr. 14 59, 

157 64.11(0).36 L. del Rey, The Mysterious Sky, Philadelphia, Chilton Company Book Division, 1964, 183 pp, $3.95, Sky Tel. 27 240, 

158 64.11(0).37 C. A. Ronan, A la découverte de l’Univers, Paris, Flammarion et Cie, 1964, 156 pp, , BSAF 79 193, translated from English;

159 64.11(0).38 C. A. Ronan, Astrophysik und Astronautik, Ravensburg, Otto Maier Verlag, 1964, 157 pp, DM 19.80 and sfr. 21.60, Orion Schaffhausen 10 150 and SuW 4 115, translated  by W. Petri;also published Aarau: H. R. Sauerländer & Co.;

160 64.11(0).39 K. Schaifers, Petra lernt den Himmel kennen, Mannheim, Bibliographisches Institut, 1964, 108 pp, DM 6.80, SuW 3 292 and VdS Nachr. 13 182, 

161 64.11(0).40 C. Shalén and C. Roslund and N. Engver, Kompendium för l betyg i Astrofysik, Lund, Studentlitteratur, 1964, 108 pp, , , 

162 64.11(0).41 S. I. Seleschnikow, ABC des Sternhimmels, Leningrad, Leningrader Abt. Ges. <<Snanije>>  Russ. SSR, 1963, 64 pp, 10 Kop., RJ UdSSR 1965 1.51.85, 

163 64.11(0).42 W. W. Shelesnjakow, Die Radiostrahlung der Sonne und Planeten, Moskau, Verlag <<Nauka>>, 1964, 560 pp, 2R. 63 Kop., AJ UdSSR 42 869, 

164 64.11(0).43 F. J. Siegel, Schätze des Sternhimmels comma Wegwieser durch die Sternbilder, Moskau, <<Nauka>>, 1964, 223 pp, 48 Kop., , 

165 64.11(0).44 W. T. Skilling and R. S. Richardson, Sun comma Moon and Stars, New York, McGraw-Hill Book Co., 1964, 304 pp, $5.95, Sky Tel. 28 93 and Sky Tel. 28 371, 

166 64.11(0).45 O. Struve and B. Lynds and H. Pillans, Elementare Astronomie, Moskau, <<Nauka>>, 1964, 457 pp, 1R. 22 Kop., AJ UdSSR 42 870 and Priroda 54 Nr. 6 5, reprint of AJB 59.11.56;translated from English by I. S. Schtscherbina-Samojlowa;edited by S. Kaplan;

167 64.11(0).46 W. G. Tejfel, Wovon die Sterne erzählen Astrophysik, Alma-Ata, Kaach. Staatsverlag, 1964, 143 pp, 19 Kop., , 

168 64.11(0).47 K. Winkler, Den Sternen auf der Spur; Ein Beschäftigungsbuch für junge Astronomen, Halle/Saale, Postreiter-Verlag, , , DM 6.45, Sterne 40 175, 

169 64.11(0).48 W. P. Wjasanizyn and M. N. Gnewyschew and O. W. Dobrowolskij and W. A. Krat and A. W. Markow and A. P. Moltschanow and W. M. Sobolew and W. W. Scharonow, Lehrbuch der Astrophysik und Stellarastronomie; Band 3, Moskau, <Nauka>>, 1964, 375 pp, 1R. 83 Kop., AJ UdSSR 42 214 and RJ UdSSR 1965 1.51.54, 

170 64.11(0).49 B. A. Woronzow-Weljaminow, Astronomie; Lehrbuch für Mittleschulen, Moskau, <<Prosweschtschenije>>, 1964, 160 pp, 24 Kop., , 18th edition;

171 64.11(0).50 B. A. Woronzow-Weljaminow, Über das Weltall, Moskau, Verlag <<Nauka>>, 1964, 552 pp, 1R. 2 Kop., Priroda 53 Nr. 7 119, 5th edition;

172 64.11(0).51 S. P. Wyatt, Principles of Astronomy, Boston, Allyn and Bacon, 1964, 12+561 pp, $8.95, J. Astr. Soc. Victoria 18 59 and Science 144 987 and Sky Tel. 29 165 and Sky Tel. 28 361, 

173 64.11(0).52 H. S. Zim and R. H. Baker, Astronomi, Stockholm, Generalstabens Litografiska Anstalts Förlag, 1964, 160 pp, 17:50, PAT 46 76, 

174 64.11(0).53 C. Flammarion, Astronomie Populaire, Paris, Flammarion et Cie, 1964, 674 pp, 100s, J. Inst. Navigation 18 120 and SuW 3 292, 2nd edition;edited by G. C. Flammarion and A. Danjon;

175 64.11(0).54 S. von Hoerner and K. Schaifers ed., Meyers Handbuch über das Weltall, Mannheim, Bibliographisches Institut, 1964, 621 pp and atlas, DM 18.00, Orion Schaffhausen 9 234 and Phys. Blätter 21 393 and Sky Tel. 28 93 and VdS Nachr. 13 61 and Weltraumfahrt 15 158, 3rd edition;

176 64.11(0).55 H. Messel and S. T. Butler ed., Space Physics and Radio Astronomy, New York, St. Martin’s Press, 1964, 174 pp, $4.25, Science 145 1288 and Sky Tel. 29 378, 

177 64.11(0).56 , The Flammarion Book of Astronomy, London, George Allen and Unwin Ltd., 1964, 670 pp, 100s and $22.95, Nature 204 815 and Science 146 1153 and Spaceflight 7 63, translated from French by A. Pagel and B. Pagel;also published New York: Simon & Schuster;

178 64.11(0).58 S.Rappaport and H. Wright ed., Astronomy, New York, New York University Press, 1964, 14+354 pp, $4.95, Sky Tel. 29 378 and Sky Tel. 30 163 and Science 148 794, 

179 64.11(0).59 P. W. Schtscheglow ed., Neue Methoden in der Astrophysik, Moskau, Verlag <<Mir>>, 1964, 252 pp, 92 Kop., AJ UdSSR 42 214, translated from English by A. S. Scharow;

180 64.11(0).60 A. A. Blagonrawow ed., English-Russian Astronautics (Cosmonautics) Dictionary, Moskau, The Military Publishing House of the Ministry of Defence, 1964, , 0.71R., Spaceflight 6 174, compiled by F. P. Suprun and K. W. Schirokow;

181 64.11(0).61 , Astronomie; Ein Lehrbuch für die Oberschule – Klasse 10, Berlin, Volk und Wissen, 1964, 132 pp, , , 

182 64.11(0).62 , Astronomie; Ein Lehrbuch für die erweiterte Oberschule – Klasse 11, Berlin, Volk und Wissen, 1964, 146 pp, , , 

183 64.11(0).63 , Physik des Mondes und der Planeten, Kiew, <<Naukowa Dumka>>, 1964, 139 pp, 51 Kop., , 

184 64.12(0).02 H. Craig and S. L. Miller and G. J. Wasserburg ed., Isotopic and Cosmic Chemistry, Amsterdam, North Holland Publishing Company, 1964, 25+553 pp, 108s, Nature 207 562 and Planet. Space Sci. 13 270, other festschrift für H. C. Urey; 

185 64.12(0).03 , Galileo Galilei comma Ausgewählte Werke in zwie Bänden, Moskau, <<Nauka>>, 1964, 640 pp, 3R., , 

186 64.12(0).04 F. Hammer ed., Johannes Kepler comma Band 8 and Band 9, München, C. H. Beck’sche Verlagsbushhandlung, 1960, 516 pp and 560 pp, DM 56.00 and DM 48.00, Nature 207 335, other Band 8 Mysterium Cosmographicum comma Editio altera cum notis comma De Cometis comma Hyperspistes Band 9 Mathematische Schriften; 

187 64.12(0).05 A. A. Michajlow ed., N. Kopernicus comma De Revolutionibus orbium caelestium, Moskau, <<Nauka>>, 1964, 653 pp, 3R. 28 Kop., RJ UdSSR 1965 1.51.12, translated from Latin by I. N. Wesselowskij;in Russian;

188 64.12(0).06 I. Newton, The Mathematical Principles  of Natural Philosophy, New York, Philosophical Library Inc., 1964, 447 pp, $10.00, Sky Tel. 28 94, 

189 64.12(0).07 K. E. Ziolkowskij, Gesammelte Werke comma Band 4 comma Naturwissenschaft und Technik, Moskau, <<Nauka>>, 1964, 460 pp, 2R. 30 Kop., , 

190 64.12(0).08 K. E. Ziolkowskij, Leben im interplanetaren Medium, Moskau, <<Nauka>>, 1964, 84 pp, 15 Kop., Priroda 24 Nr. 5 93, 

191 64.13(0).01 G. S. Iwanow-Cholodny and G. M. Nikolskij ed., Sternspektren im fernen Ultraviolett, Moskau, Verlag <<Mir>>, 1964, 419 pp, 1R. 85 Kop., AJ UdSSR 42 214 and RJ UdSSR 1965 6.62.252, reprint of AJB 61.13.14;in Russian;

192 64.13(0).02 E. E. Dubow ed., Kosmische Gasdynamik, Moskau, Verlag <<Mir>>, 1964, 717 pp, 2R. 34 Kop., AJ UdSSR 42 869, reprint of AJB 61.13.17;in Russian;

193 64.13(0).03 T. M. Tabanera ed., Advances in Space Research comma Proceedings of the First Inter-American Symposium on Space Research, Oxford-London-New York-Paris, Pergamon Press, 1964, 8+439 pp, £6, Planet. Space Sci. 13 727 and ZfA 61 169, 

194 64.13(0).04 B. Peters ed., Cosmic Rays comma Solar Particles and Space Research, New York-London, Academic Press Inc., 1963, 12+418 pp, $16.00 and £5 14s 6d, Planet. Space Sci. 13 362, other Proceedings of the International School of Physics Enrico Fermi Course XIX; 

195 64.13(0).07 B. Rossi ed., Space Exploration and the Solar System, New York-London, Academic Press, 1964, 6+311 pp, $13.00, Ann d’Astrophys 28 748 and Ciel et Terre 81 191 and Science 148 210 and Sky Tel. 29 173, other Proceedings of the International School of Physics Enrico Fermi Course XXIV; 

196 64.13(0).08 L. Infeld ed., Relativistic Theories of Gravitation, London-New York, Pergamon Press, 1964, 18+379 pp, 63s, Phys. Blätter 21 439, also published Paris: Gauthier-Villars;

197 64.13(0).10 L. Gratton ed., Star Evolution, New York-London, Academic Press, 1963, 7+488 pp, $18.50, Ann d’Astrophys 28 749 and J RAS Canada 59 47 and Nature 206 49 and Phys. Today 18 Nr. 5 78 and Science 146 1032 and Sky Tel. 28 374, other Proceedings of the International School of Physics Enrico Fermi Course XXVIII; 

198 64.13(0).11 N. Boneff and I. Hersey ed., XIIIth  International Astronautical Congress Proceedings I and II, Wien-New York, Springer Verlag, 1964, 123+1024 pp, $48.00, , 

199 64.13(0).13 S. P. Maran and A. G. W. Cameron ed., Physics of Nonthermal Radio Sources, Greenbelt MD, NASA Goddard Institute for Space Studies, 1964, 10+171 pp, $0.75, Sky Tel. 29 173, 

200 64.13(0).14 S. F. Singer ed., Torques and Attitude Sensing in Earth Satellites, New York-London, Academic Press Inc., 1964, 13+261 pp, 78s and $9.75, J. Astronaut. Sci. 12 35 and Nature 204 973, 

201 64.13(0).15 , Die Rotation der Erde, Kiew, Akad. Wiss. Ukrain. SSR, 1963, 310 pp, 1R. 40 Kop., , 

202 64.13(0).16 F. J. Kerr and A. W. Rodgers ed., The Galaxy and the Magellanic Clouds, Canberra, Australian Academy of Science, 1964, 6+393 pp, , Ann d’Astrophy 28 578 and Publ ASP 77 226, other IAU-USRI Symposium No. 20; 

203 64.13(0).18 E. Thrane ed., Electron Density Distribution in Ionosphere and Exosphere, Amsterdam, North-Holland Publishing Company, 1964, 403 pp, $13.50, Proc IEEE 53 334, also published New York: Interscience Publishers Inc.;

204 64.13(0).20 P. J. Brancazio and A. G. W. Cameron ed., The Origin and Evolution of Atmospheres and Oceans, New York, J. Wiley & Sons Inc., 1964, 326 pp, $12.50, Science 146 1621 and Science 147 1021 and Sky Tel. 29 107, 

205 64.13(0).22 M. Florkin and A. Dollfus ed., Life Sciences and Space Research II, Amsterdam, North-Holland Publishing Company, 1964, 8+440 pp, $14.00 and 100s, Planet. Space Sci. 13 361 and Nature 204 971, 

206 64.13(0).23 P. Muller ed., Space Research IV, Amsterdam, North-Holland Publishing Company, 1964, 16+997 pp, 220s, Nature 204 315 and Obs 84 166 and Planet. Space Sci. 12 1214 and Proc. Phys. Soc. 84 822 and Weltraumfahrt 16 62 and ZfA 60 290, 

207 64.13(0).25 V. G. Szebehely ed., Celestial Mechanics and Astrodynamics, New York, Academic Press, 1964, 744 pp, $10.75, Sky Tel. 29 173, 

208 64.13(0).32 W. N. Hess ed., AAS-NASA symposium on the physics of solar flares, Washington D.C., NASA Sci. Techn. Inform. Div, 1964, 465 pp, , , 

209 64.13(0).34 R. R. Daniel and P. J. Lavakare and M. G. K. Menon and S. Naranan and N. W. Nerurkar and Y. Pal and B. V. Sreekantan ed., Cosmic Rays Vol. 1 Solar Particles and Sun-Earth Relations, Coloba Bombay, Tata Institute of Fundamental Research, 1964, 265 pp, , Nature 206 350, 

210 64.16(0).82 J. Rublowsky, Light: Our Bridge to the Stars, New York, Basic Books Inc., 1964, 146 pp, $4.50, Sky Tel. 28 231 and Sky Tel. 29 38, 

211 64.16(1).99 J. F. Denisse and J. L. Delecroix, Plasma Waves, New York-London, Interscience Publishers Inc., 1963, 143 pp, 59s, Ann d’Astrophys 27 262 and Phys. Blätter 21 138 and Proc. Phys. Soc. 85 793 and Space Sci. Rev. 3 856, also published New York-London: John Wiley & Sons;

212 64.16(1).101 W. L. Ginsberg, The Propagation of Electromagnetic Waves in Plasmas, Oxford-London, Pergamon Press Ltd., 1964, 19+535 pp, , , reprint of AJB 61.16.83;translated from English by J. B. Sykes and R. J. Taylor;

213 64.16(1).103 H. R. Green, Plasma Spectroscopy, New York-London, McGraw-Hill Book Company, 1964, 11+580 pp, $18.50, , 

214 64.17(0).01 T. Alexander, Project Apollo: Man to the Moon, New York, Harper & Row Publishers Inc., 1964, 225 pp, $4.50, J. Astronaut. Sci. 11 128, 

215 64.17(0).04 B. P. Blasingame, Astronautics, New York, McGraw-Hill Book Company, 1964, 215 pp, 77s, Spaceflight 7 32, 

216 64.17(0).08 R. Brock, Flugkörper – Raketen – Satelliten, München, J. F. Lehmanns Verlag, 1963, 412 pp, DM 48.00, Sterne 40 175 and Sternenbote 7 158, 

217 64.17(0).11 M. Caidin, Red Star in Space, , Crowell-Collier Press, 1963, 280 pp, $4.95, Spaceflight 6 179, 

218 64.17(0).17 H. Faust, Raketen comma Satelliten comma Weltraumflug, Stuttgart, Verlag Phillip Reclam jun., 1963, 153 pp, DM 1.60, Weltraumfarht 15 127, 

219 64.17(0).22 J. K. Kaiser, Zu fremden Gestirnen, Baden-Baden, Signal-Verlag Hans Frevert, 1964, 191 pp, DM 9.80, Weltraumfarht 15 158, 2nd edition;

220 64.17(0).23 D. P. LeGalley and J. W. McKee, Space exploration, New York, McGraw-Hill Book Company Inc., 1964, 459 pp, $17.50, IEEE Spectrum 1 Nr. 10 172, 

221 64.17(0).24 W. Ley, Missiles comma Moonprobes comma and Megaparsecs, New York, New York American Library of World Literature Inc., 1964, 181 pp, $0.60, J. Astronaut. Sci. 11 130, 

222 64.17(0).26 R. Lüst, Die gegenwärtigen Probleme der Weltraumforschung, München, R. Oldenbourg Verlag, 1964, 42 pp, DM 3.40, VdS Nachr. 14 100, also published Düsseldorf: VDI-Verlag GMBH;

223 64.17(0).28 H. Massey, Space Physics, London-New York, Cambridge University Press, 1964, 8+237 pp, 35s and $6.50, Nature 206 48 and Planet. Space Sci. 13 471 and Proc. Phys. Soc. 86 223 and Science 148 1081 and Spaceflight 7 67, 

224 64.17(0).30 R. C. Moser, Space-Age Acronyms, New York, Plenum-Press, 1964, 427 pp, $17.50, Weltraumfahrt 16 94, 

225 64.17(0).31 J. L. Nayler, Dictionary of Astronautics, London, Newnes Ltd., 1964, 316 pp, 35s, Spaceflight 7 34, 

226 64.17(0).33 M. Stoiko, Project Gemini: Step to the Moon, New York, Holt comma Rinehart and Winston, 1963, 124 pp, $3.95, Spaceflight 7 139, 

227 64.17(0).39 M. L. Bizony and R. Griffin and D. Forbes ed., The Space Encyclopedia, New York, E. P. Dutton & Company Inc., 1964, , $2.45, , 

228 64.17(0).40 A. P. Herbert ed., Watch This Space, London, Methuen & Co. Ltd., 1964, 196 pp, 10s 6d, Spaceflight 7 62, 

229 64.17(0).41 D. Howard ed., Astronautics 1963, , , 1963, 133 pp, 30s, Spaceflight 7 32, 

230 64.17(0).42 D. P. Legalley and A. Rosen ed., Space Physics, London-New York, John Wiley & Sons, 1964, 20+752 pp, $25.00, Ann d’Astrophys 27 595 and Phys. Today 17 Nr. 10 57 and Planet. Space Sci. 13 869 and Proc. IEEE 53 432 and Science 145 806 and Sky Tel. 28 374 and Sky Tel. 29 235 and Spaceflight 6 211 and Space Sci. Rev. 3 857, 

231 64.17(0).43 H. Moureu and M. Y. Bernard ed., Astronautique et Recherche Spatiale, Paris, Dunod, 1964, 326 pp, Fr. 28, Space Sci. Rev 3 858, 

232 64.17(0).44 H. Odishaw ed., The Challenges of Space, London, The University of Chicago Press, 1963, 18+379 pp, 50s, Obs 85 49, 

233 64.17(0).45 F. I. Ordway III ed., Advances in Space Science and Technology Vol. 6, New York-London, Academic Press Inc., 1964, 17+444 pp, 107s 6d, Nature 206 48, 

234 64.17(0).46 S. F. Singer ed., Progress in the Astronautical Sciences Vol. 1, Amsterdam, North-Holland Publishing Company, 1964, 416 pp, hfl 43.00, Weltraumfarht 16 63, 

235 64.17(0).48 , Wissenschaft im Kosmos, Moskau, <<Nauka>>, 1964, 446 pp, 1R. 62 Kop, , reprint of AJB 61.17.90;other translation of AJB 61.17.90; 

236 64.17(0).49 , Advances in the Astronautical Sciences Vol. 10 comma 12 comma 13 comma 14, North Hollywood CA, Western Periodicals Co., 1963, 320 pp and 255 pp and 682 pp and 375 pp, $11.50 and $11.50 and $16.75 and $15.00, Spaceflight 6 175, other multiple volumes listed; 

237 64.17(1).64 H. Massey and M. O. Robins and R. L. F. Boyd and G. V. Groves and D. W. O Heddle, Scientific Research in Space, London, Elek Books Ltd., 1964, 194 pp, 37s 6d, Nature 206 49 and Planet. Space Sci. 13 471, 

238 64.17(2).79 R. H. Battin, Astronautical Guidance, New York, McGraw-Hill Book Company, 1964, 400 pp, $15.00, J. Astronaut. Sci. 12 66, 

239 64.17(2).98 D. F. Lawden, Optimal Trajectories for Space Navigation, London, Butterworth & Co., 1963, 126 pp, $4.25, J. Astronaut. Sci. 12 65, 

240 64.17(3).123 R. M. Wallisfurth, Rußlands Weg zum Mond, Düsseldorf-Wien, Econ-Verlag GmbH, 1964, 440 pp, DM 22.80, Phys. Blätter 21 240 and VdS Narchr. 13 182, 

241 64.17(3).126 C. T. Leondes and R. W. Vance ed., Lunar Missions and Explorations, New York, Wiley & Sons Inc., 1964, 20+669 pp, $17.50, Proc IEEE 53 768 and Science 147 1566, 

242 64.18(0).01 J. L. Alpert and A. W. Gurewitsch and L. P. Pitajewskij, Künstliche Satelliten in verdünntem Plasma, Moskau, Verlag <<Nauka>>, 1964, 384 pp, 1R. 11 Kop., AJ UdSSR 42 214, 

243 64.18(0).22 H. Pfaffe and P. Stache, Typenbuch der Raumflugkörper 1957—1964, Berlin, Deutscher Militärverlag, 1964, 295 pp, DM 9.00, CdS Nachr. 14 12, 

244 64.18(0).35 K. W. Gatland ed., Telecommunications Satellites, Englewood Cliffs NJ, Prentice-Hall Inc., 1964, 431 pp, $4.50, IEEE Spectrum 2 Nr. 8 156, 

245 64.18(2).180 D. G. King-Hele, Theory of Satellite Orbits in an Atmosphere, London, Lutterworths, 1964, 7+165 pp, £1.10, Ann d’Astronphys 27 597 and JBAA 75 209 and Planet. Space Sci. 13 268, 

246 64.18(2).200 D. A. Pogorelow, Fundamentals of Orbital Mechanics, San Francisco, Holden-Day, 1964, 112 pp, $5.00, Phys. Today 17 Nr. 11 78 and Science 146 1453, translated from Russian by M. Friedman;

247 64.19(0).01 G. Abetti, L’Unità del Cosmo, Milano, V. Bompiani, 1964, 32+164 pp, L. 1500, Coelum 32 134, 

248 64.19(0).04 E. Bergaust, The Next Fifty Years in Space, London, Macmillan & Co., 1964, 272 pp, $5.95, Sky Tel. 27 240, 

249 64.19(0).05 O. O. Binder, Riddles of Astronomy, New York, Basic Books Inc., 1964, 14+210 pp, $4.95, J. Astronaut. Sci. 12 62 and Science 148 939, 

250 64.19(0).10 F. Hoyle, Of Men and Galaxies, Seattle, University of Washington Press, 1964, 7+73 pp, $2.95, Nature 206 47 and Phys. Today 18 Nr. 6 51 and Sci. American 212 Nr. 5 144 and Sky Tel. 29 42, 

251 64.19(0).13 M. E. Martin, The Friendly Stars, New York, Dover Publications Inc., 1964, 12+147 pp, $1.00, Coelum 33 27 and Sky Tel. 27 366 and Sky Tel. 28 162/4 and ZfA 61 167, reprint of 1907;

252 64.19(0).14 G. Murchie, La Musique dex Sphères, Paris, Ed. Stock comma Delamain et Boutelleaux, 1964, 528 pp, , Ciel et Terre 80 387, translated from English by J.-P. Harrison;

253 64.19(0).17 G. Peisino, Le grandi realtà ed I profondi misteri dell’universo, Fossano, Editrice L’Esperienze, 1964, 160 pp, L 500, Coelum 33 28, in Italian;

254 64.19(0).20 E. Verhülsdonk, Das kosnische Abenteuer, Franfurt, Verlag Josef Knecht, 1964, 360 pp, DM 19.80, SuW 4 43, 

255 64.19(0).22 G. Westerhout and C. H. Townes and B. Heezen and N. Y. Chen and S. Ochon and G. Piel, Tomorrow was Yesterday, New York, G. Braziller Inc., 1964, 91 pp, $3.50, Sky Tel. 28 231, other see also 64.08.36; 

256 64.19(0).23 W. Herdeg ed., The Sun in Art, Zürich, Amstutz und Herdeg Graphis Press, 1962, 156 pp, $7.50, Sky Tel. 30 169, 3rd edition;

257 64.19(1).41 S. H. Dole, Habitable Planets for Man, New York, Blaisdell Publishing Company, 1964, 13+160 pp, $5.75, J. Astronaut. Sci. 12 31 and Sky Tel. 27 366 and Sky Tel. 28 230 and Spaceflight 7 140 and Space Sci. Rev. 4 262, 

258 64.19(1).42 W. G. Fessenkow, Leben im Weltall, Moskau, <<Snanijes>>, 1964, 55 pp, 11 Kop., , 

259 64.19(1).43 J. Gadomski, Powstanie Kosmosu i jego życie, Warschau, Wyd. Nasza Księgarnia, 1963, 120 pp, zł 20, Urania Kraków 35 122, 

260 64.19(1).52 W. Sullivan, We Are Not Alone: The Search for Intelligent Life on Other Worlds, New York, McGraw-Hill Book Company, 1964, 12+325 pp, $6.95, Sci. American 212 Nr. 5 144 and Science 146 1666 and Sky Tel. 29 172 and Sky Tel. 30 101, 

261 64.01(2).198 W. Lohmann and F. Henn and U. Güntzel-Ligner ed., Astronomisher Jahresbericht Vol. 62, Berlin, Walter de Gruyter & Co., 1964, 16+728 pp, DM 72.00, , 

262 64.01(2).209 J. C. Houzeau and A. Lancaster, Bibliographie Générale de l’Astronomie Jusqu’en 1880, London, Holland Press, 1964, 1727 pp and 85+2225 pp, £35.00 and $98.00, Sky Tel. 29 378, edited by D. W. Dewhirst;

262 64.01(2).211 A. H. Sokoll, Bibliographie zur Aero- und Astronautik Deutschsprachiges Schriftum 1945—1960, München, Alkos-Verlag, 1963, 206 pp, DM 29.80, Weltraumfahrt 15 190

263 64.02(0).02 R. H. Allen, Star Names: Their Lore and Meaning, New York, Dover Publications Inc., 1964, 577 pp, $2.35, Coelum 33 27 and ZfA 61 167, reprint of 1899;

265 64.02(0).03 S. A. Bedini, Early American Scientific Instruments and Their Makers, Washington D.C., U.S. Govt. Printing Office, 1964, 184 pp, $1.00, Ciel et Terre 81 46 and Sky Tel. 29 108, 

