Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, pagination, cost, review [and review [and …]], comments
258 65.03(0).24 P. G. Kulikowskij, Pawel Karlowitsch Sternberg 1865-1920, Moskau, <<Nauka>>, 1965, 136 pp, 35 Kop., RJ UdSSR 1966 5.51.20, 

259 65.03(0).26 R. Lamontagne, Lavie et l’oevre de Pierre Bouguer, Paris, Presses Universitaires de France, 1964, 97 pp, , BSAF 80 32, 

260 65.03(0).31 S. Matulajtite, Astronomen; Bibliographischer Anzeiger, Vilnius, Staatl. Bibliothek Litau. SSR, 1965, 79 p, 11 Kop., , in Lithuanian;other editions in Russian and English also; 

261 65.03(0).38 A. D. Myschkis and I. M. Rabinowitsch, Der Mathematiker Piers Bohl aus Riga, Riga, Verlag <<Sinatne>>, 1965, 97 pp, , , in Russian;

262 65.03(0).41 J. Plath, Georg Christoph Lichtenberg 1773 in Stade comma Hamburg und Helgoland, Stade, Verlag F. Schaumburg, 1965, 63 pp, , Sterne 42 79, 

263 65.03(0).54 Johannes Kepler, Unterredung mit dem Sternenboten, München, J. F. Lehmann-Verlag, 1964, , , Coelum 33 195, translated  by F. Hammer;in German;

264 65.03(0).55 J. Hurwic ed., Milołaj Kopernik Szkice Monograficzne, Warszawa, Państwowe Wydawnictwo Naukowe, 1965, 302 pp, zł 20, , 

265 65.03(0).56 A. A. Michajlow ed., Wassilij Jakowlewitsch Struve (1793-1864), Moskau, <<Nauka>>, 1964, 251 pp, 1R. 31 Kop., RJ UdSSR 1965 10.51.14, 

266 65.03(0).57 , Kepler’s Conversation with Galileo’s Sidereal Messenger, New York, Johnson Reprint Corp., 1965, 184 pp, $9.00, Ann d’Astrophys 29 407 and Coelum 33 196 and Publ ASP 78 183 and Science 150 1279 and Sky Tel. 30 372, translated  by E. Rosen;

267 65.03(0).58 J. C. Poggendorf, Biographisch-Literaraisches Handwörterbuch der Exakten Naturwissenschaften Band VIIb Teil 1 Lieferung, Berlin, Akademie Verlag, 1965, 160 pp, DM 24.00, , edited by H. Salié;other edited by by Sächsischen Akademie der Wissenshaften zu Leipzig; 

268 65.03(1).62 L. Fermi and G. Bernardini, Galileo and the Scientific Revolution, New York, Fawcett Publications Inc., 1965, 128 pp, $0.60, , reprint of 1961;

269 65.03(1).64 L. Geymonat, Galileo Galilei, New York-Toronto, McGraw-Hill Company Inc., 1965, 204+55 pp, $7.70, J RAS Canada 59 241 and Publ ASP 77 398 and Sky Tel. 29 239 and Sky Tel. 30 97, translated  by S. Drake;

270 65.03(1).72 E. Brüche ed., Sonne steh still: 400 Jahre Galileo Galilei, Mosbach, Physik Verlag, 1964, 147 pp, DM 16.80, Optik 22 505 and Phys. Today 19 Nr. 3 67/70, 

271 65.03(1).73 , Galilei Sidereus Nuncius (Le Message céleste), Paris, Gauthier-Villars, 1964, 128 pp, F 9.00, La Nature 93 120, translated  by E. Namer;

272 65.08(2).33 A. Beer ed., Vistas in Astronomy Vol. 6, Oxford, Pergamon Press Ltd., 1965, 7+214 pp, £4 4s and $13.00, J RAS Canada 60 203 and Nature 211 126 and Science 150 1651 and Sky Tel. 31 41, 

273 65.08(2).34 B. Ernst ed., Maan en Mars Dichtbij; Mondphotos von Ranger 7 comma 8 und 9 comma Marsphotos von Mariner 4, , , 1965, , hfl 11.50, HeD 64 214, 

274 65.08(2).35 L. Goldberg and A. J. Deutsch and D. Layzer ed., Annual Review of Astronomy and Astrophysics Vol. 3, Palo Alto, Annual Reviews Inc., 1965, 7+438 pp, $8.50, Ann d’Astrophys 28 1039 and Science 150 532 and Sky Tel. 30 306 and Sky Tel. 31 225, 

275 65.08(2).36 Z. Kopal ed., Advances in Astronomy and Astrophysics Vol. 3, New York, Academic Press Inc., 1965, 10+391 pp, $14.00, Sci. American 214 Nr. 2 137 and Science 150 532 and Sky Tel. 31 292, 

276 65.08(2).37 , Science Year – The World Book Science Annual 1965, Chicago, Field Enterprises Educational Corp., 1965, 393 pp, $6.95, Sky Tel. 31 168, 

277 65.08(2).38 , Astronomy Books 1-6, Urbana IL, University of Illinois Elementary-School Science Project, 1965, , $1.50 ea, Sky Tel. 30 240 and Sky Tel. 31 38 and Sky Tel. 32 39, 

278 65.08(4).58 A. S. Aleschkewitsch, Astronomische Beobachtungen in der Schule, Minsk, <Nar. asweta>>, 1964, 104 pp, 14 Kop., , 

