Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, pagination, cost, review [and review [and …]], comments
67 65.54(0).112 L. H. Aller and D. B. McLaughlin ed., Stars and Stellar Systems Vol. 8 Stellar Structure, Chicago, University of Chicago Press, 1965, 20+648 pp, $17.50, Ann d’Astrophys 29 150 and Orion Schaffhausen 11 156 and Sci. American 214 Nr. 5 144 and Science 150 1650 and Science 151 555 and Sky Tel. 31 42 and Sky Tel. 31 290, 

68 65.41(0).54 F. R. Moulton, Periodic Orbits, New York, Johnson Reprint Corporation, 1963, 14+524 pp, , , other reprint of AJB 24.32.01a; 

69 65.41(0).69 A. E. Roy, The Foundations of Astrodynamics, New York, Macmillan Company, 1965, 14+385 pp, $10.95, J. Astronaut. Sci 13 53 and Science 150 202 and Sky Tel. 30 102 and Sky Tel. 30 371, 

70 65.41(0).72 W. M. Smart, Himmelsmechanik, Moskua, <<Mir>>, 1965, 502 pp, 1R 88 Kop., , translated from English;in Russian;

71 65.41(0).76 K. Stumpff, Himmelsmechanik Band II Das Dreikörperproblem, berlin, VEB Deutscher Verlag der Wissenschaften, 1965, 682 pp, DM 90.00, Sternenbote 9 54, 

72 65.41(0).77 G. A. Tschebotarjow, Analytische und numerische Methoden der Himmelsmeckanik, Moskau-Leningrad, <<Nauka>>, 1965, 367 pp, 1R. 50 Kop., RJ UdSSR 1966 3.51.87, 

73 65.42(0).01 S. P. Altman, Orbital Hodograph Analysis, North Hollywood CA, Western Periodical Co., 1965, 134 pp, $11.25, Nature 211 1343, 

74 65.42(0).05 P. R. Escobal, Methods of Orbit Determination, New York, Wiley & Sons Inc., 1965, 19+463 pp, $17.50 and 135s, Planet. Space Sci. 14 527 and Science 153 288 and Spaceflight 8 149, 

