Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments
44 58.05(0).26 G. O. Jones and J. Rotblat and G. J. Whitrow, Van Atoom tot Heelal, Utrecht, Uitgeverij het Spectrum, 1957, 233 pp, hfl. 1.25, Hemel en Dampkring 56 194, reprint of AJB 56.05.41;translated from English by A. Kolsteren;

45 58.05(0).27 M. Kemp, Unsere Sternenwelt; Ein Wegweiser zu den Sternbildern unserer Heimat, Bonn-Hannover-Hamburg, F. Dümmler, 1957, 28 pp, DM 1.20, , 

46 58.05(0).28 L. Kresák, Nový pohlad na vesmír (Rádioastronòmia), Martin, Verlag Osveta, 1958, 92 pp, Kčs 3.10, RH 39 191, in Slowak.;

47 58.05(0).29 W. Kruse and W. Dieckvoss, The Stars, , , , , , Obs 78 263, reference AJB 57.05.40;

48 58.05(0).30 R. Kühn, Himmel voller Wunder, München, Hanns Riech Verlag, 1958, 47 pp, , VdS Nachr 8 77, 2nd edition;other see also AJB 57.06.17; 

49 58.05(0).31 R. Kühn, De wonderen van de sterrenhemel comma weerspiegeld in ‘s werelds grootste telescopen, Amsterdam-Antwerpen, N. V. Uitgeversmij. Kosmos, 1958, , f 8.90, Hemel en Dampkring 57 132, translated from German by A. J. M. Wanders;

50 58.05(0).32 R. Kühn, Världar i rymden, , Allhems förlag, 1958, 50+50+3 pp, Kr. 16, PAT 40 76, 

51 58.05(0).33 R. Kühn, Astronomie popular, München, Nymphenburger Verlagshandlung, 1958, 204 pp, DM 9.80, RJ UdSSR 1960 Nr. 1 12 and VdS Nachr. 8 61, 

52 58.05(0).34 Z. Kvíz, Jak astronomové zkoumají vesmír, Prag, Verlag Naševojsko, 1958, 144 pp, Kčs 6.00, RH 39 287, in Tschesh.;

53 58.05(0).35 J. Lyon, Our Sun and The Worlds around it; Planets comma Moon comma Comets comma and other Wonders of the Solar System, New York, Simon and Schuster, 1957, 56 pp, $1.35, , 

