"BookID","Title","Copyright","Edition","Printing","PurchaseDate","PurchasePrice","PurchasedFrom","PublishedAt","Publisher","Condition","Description","Comments","Wanted","AccessionNumber"
1596,"Copernicus; The Founder of Modern Astronomy",1957,2,,04/21/2016 0:00:00,$9.98,267,"New York",269,"Very Good","8 3/4"" x 6"", 236 pp, grey clothspince stamped in black, with dust jacket in Good, some tears along fore edge","a revised edition",0,473
1597,"The Sun",1897,,,04/21/2016 0:00:00,$40.00,267,"New York",100,"Very Good","7 3/4"" x 5 1/2"", xii, 363 pp, three quarter brown leather with marbled paper","a new and revised edition. Fontispiece has come off but is still with the volume",0,474
1598,"Amateur Astronomer's Handbook",1961,2,1,04/21/2016 0:00:00,$9.95,267,"London",21,"Very Good","9"" x 6"", 580 pp, blue cloth, with clipped dust jacket",,0,475
1599,"Catalog of Cometary Orbits",1983,,,04/21/2016 0:00:00,$8.95,267,"Hillside NJ",270,"Very Good","9 1/4"" x 6 1/2"", 96 pages, printer paper wrap,","first trade edition",0,476
1600,"Versalog",1951,,,04/21/2016 0:00:00,$7.48,267,"Chicago",271,"Very Good","8 1/4"" x 5 3/4"", (5), 115 pp, gray cloth with blue stamped front cover and spine,","Printed ownership mark on front paste down ""Larry Diamond""",0,477
1601,"Nathaniel Bowditch and the Power of Numbers",2016,1,,05/25/2016 0:00:00,$27.76,128,"Chapel Hill",272,"Fine","9 1/2"" x 6 1/2"", xiv, 402 pp, black cloth gold stamped spine, w/dj as issued",,0,478
1602,"Wisdom's Workshop; The Rise of the Modern University",2016,1,1,05/25/2016 0:00:00,$25.17,128,"Princeton NJ",34,"Fine","9 1/2"" x 6 1/2"",  xx, 417 pp, rey cloth stamped spine w/DJ as issued",,0,479
1603,"The Masses of the Stars with a General Catalogue of Dynamical Parallaxes",1940,1,,06/08/2016 0:00:00,$19.80,273,"Chicago",14,"Good","9 1/2"" x 6 3/4"", ix, 236 pp, stiff blue cardboard covers, no DJ as issued","el lib Observatoire Le House? And UT/Austin Peridier Library. Yellow tape one inch wide around bottom of covers",0,480
1604,"Fritz Zwicky; Leben und Werk des grossen Schweizer Astrophysikers, Takentenforschers und Morphlogen (1898-1974)",1986,1,,06/14/2016 0:00:00,$58.54,275,"Switzerland",274,"Fine","9"" x 6 1/2"", 701pp, blue cloth with sive stamped front cover and spine, w/DJ in fine","in German, Vlume 3 of the series from the Fritz Swicky Foundation",0,481
1605,"The Heavens and their Story",1912,1,,06/25/2016 0:00:00,$18.00,276,"London",278,"Good","8"" x 6"",  357 pp, 72 Plates 8 in colour, red cloth with stamped cover and spine","Hinges weak",0,482
1606,"Putting Science in its Place",2003,1,1,07/01/2016 0:00:00,$6.00,277,"Chicago",14,"Fine","8 1/2"" x 5 3/4"", xii, 234 pp, brown cloth with gold stamped spine, with dust jacket (fine)",,0,483
1607,"Elementary Particles; A short history of some discoveries in atomic physics",1962,1,2,07/01/2016 0:00:00,$6.00,277,"Princeton",34,"Fine","9"" x 6"", 68 pp, gray cloth, silver/black stamped  image from a bubble chamber on cover, silver stamped spine, with dust jacket (fine)","The 1963 Vanuxem Letures given at Princeton University in 1959",0,484
1608,"Elements of Wave Mechanics",1952,1,1,07/01/2016 0:00:00,$6.00,277,"Cambridge",54,"Fine","8 3/4"" x 6"", ix, 156 pp, red cloth with gold stamped spine, dust jacket (fine)","replaces the author's 1930 work 'An Outline of Wave Mechanics'",0,485
1609,"The history of astronomy from Herschel to Hertzsprung",1984,1,,07/01/2016 0:00:00,$7.50,277,"Ney York",54,"Fine","9 1/4"" x 6 1/4"", x, 220 pp, red cloth with gold stamped spine, with dust jacket (fine)","First english edition, a translation of the third edition in German",0,486
